epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5426.94,0.84439,0.55132,1.13926,0.90864,0.9174,0.9435,0.72691,0.74231,0.41741,1.0422,0.000190218,0.000190218,0.000190218
43,5556.32,0.83762,0.54028,1.13494,0.91336,0.9221,0.94737,0.73459,0.7315,0.40771,1.0346,0.000180516,0.000180516,0.000180516
44,5684.93,0.82822,0.54035,1.132,0.93079,0.90738,0.94525,0.72821,0.74182,0.41846,1.05051,0.000170814,0.000170814,0.000170814
45,5814.38,0.82629,0.52668,1.12838,0.9188,0.91424,0.94065,0.72723,0.73106,0.40996,1.04191,0.000161112,0.000161112,0.000161112
46,5944.13,0.81803,0.5238,1.12168,0.9343,0.90289,0.94319,0.72963,0.73,0.41002,1.04282,0.00015141,0.00015141,0.00015141
47,6073.4,0.81327,0.51822,1.12085,0.92431,0.90518,0.93999,0.72747,0.72477,0.40768,1.03473,0.000141708,0.000141708,0.000141708
48,6205.03,0.79978,0.50864,1.11341,0.93071,0.89116,0.94171,0.73086,0.73011,0.4031,1.03252,0.000132006,0.000132006,0.000132006
49,6336.19,0.79186,0.50388,1.10807,0.92205,0.91306,0.9385,0.72485,0.73321,0.40289,1.03939,0.000122304,0.000122304,0.000122304
50,6464.01,0.78355,0.49616,1.10441,0.93962,0.89639,0.94313,0.73139,0.72515,0.40384,1.0331,0.000112602,0.000112602,0.000112602
51,6592.69,0.72352,0.38328,1.07131,0.92949,0.89666,0.94455,0.72698,0.71942,0.40569,1.03219,0.0001029,0.0001029,0.0001029
52,6715.35,0.69886,0.36391,1.05726,0.91732,0.90256,0.93732,0.72404,0.71983,0.39729,1.0311,9.3198e-05,9.3198e-05,9.3198e-05
53,6837.1,0.68935,0.36141,1.05026,0.93294,0.89813,0.94073,0.72715,0.71322,0.39563,1.02898,8.3496e-05,8.3496e-05,8.3496e-05
54,6958.33,0.68171,0.35803,1.04281,0.94,0.9009,0.94128,0.73048,0.71507,0.39694,1.03046,7.3794e-05,7.3794e-05,7.3794e-05
55,7079.79,0.66289,0.34503,1.03579,0.94721,0.88755,0.94207,0.7311,0.70867,0.39214,1.03006,6.4092e-05,6.4092e-05,6.4092e-05
56,7202.39,0.65768,0.34104,1.03598,0.93488,0.89686,0.94247,0.73812,0.70188,0.39089,1.02538,5.439e-05,5.439e-05,5.439e-05
57,7326.32,0.65177,0.33894,1.02846,0.92927,0.91092,0.94487,0.73226,0.70079,0.38649,1.02328,4.4688e-05,4.4688e-05,4.4688e-05
58,7448.33,0.64415,0.33399,1.02455,0.93613,0.90469,0.94261,0.73081,0.69842,0.38688,1.0265,3.4986e-05,3.4986e-05,3.4986e-05
59,7569.9,0.63409,0.3301,1.01536,0.94012,0.90823,0.94363,0.73204,0.69712,0.38578,1.02845,2.5284e-05,2.5284e-05,2.5284e-05
60,7692.1,0.63082,0.33046,1.01984,0.93609,0.91414,0.94445,0.73252,0.69922,0.38697,1.02906,1.5582e-05,1.5582e-05,1.5582e-05
